===20160828-090826,main[84]=== len = 0

===20160828-090839,main[84]=== len = 1

===20160828-090841,main[84]=== len = 1

===20160828-090855,main[84]=== len = 1

===20160828-090906,main[84]=== len = 2

===20160828-090911,main[84]=== len = 2

===20160828-090930,main[84]=== len = 2

===20160828-090944,main[84]=== len = 3

===20160828-090947,main[84]=== len = 3

===20160828-090953,main[84]=== len = 3

===20160828-091000,main[84]=== len = 3

===20160828-091016,main[84]=== len = 3

===20160828-091111,main[84]=== len = 3

===20160828-091115,main[84]=== len = 3

===20160828-091122,main[84]=== len = 3

===20160828-091130,main[84]=== len = 3

===20160828-091137,main[84]=== len = 3

===20160828-091145,main[84]=== len = 3

===20160828-091150,main[84]=== len = 3

===20160828-091231,main[84]=== len = 3

===20160828-091233,main[84]=== len = 3

===20160828-091235,main[84]=== len = 3

===20160828-091238,main[84]=== len = 3

===20160828-091242,main[84]=== len = 3

